drug_name	drug_id	structure_url	CAS_number	mechanism_of_action	target	actions
Acyclovir	DB00787	https://www.drugbank.ca/structures/small_molecule_drugs/DB00787.sdf	59277-89-3	Viral (HSV-1, HSV-2 and VZV) thymidine kinase converts aciclovir to the aciclovir monophosphate, which is then converted to the diphosphate by cellular guanylate kinase, and finally to the triphosphate by phosphoglycerate kinase, phosphoenolpyruvate carboxykinase, and pyruvate kinase. Aciclovir triphosphate competitively inhibits viral DNA polymerase and competes with the natural deoxyguanosine triphosphate, for incorporation into viral DNA. Once incorporated, aciclovir triphosphate inhibits DNA synthesis by acting as a chain terminator. One may consider aciclovir to be a prodrug as it is metabolized to more active compounds. Aciclovir is selective and low in cytotoxicity as the cellular thymidine kinase of normal, uninfected cells does not use aciclovir effectively as a substrate. 	Thymidine kinase	potentiator
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	Inosine-5&#39;-monophosphate dehydrogenase 1	inhibitor
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	Inosine-5&#39;-monophosphate dehydrogenase 2	Not Available
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	Adenosine kinase	activator
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	RNA-directed RNA polymerase L	antagonist
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	RNA-directed RNA polymerase catalytic subunit	inhibitor
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	Cytosolic purine 5&#39;-nucleotidase	inducer
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	inhibitor
Ribavirin	DB00811	https://www.drugbank.ca/structures/small_molecule_drugs/DB00811.sdf	36791-04-5	Ribavirin is reported to have several mechanism of actions that lead to inhibition of viral RNA and protein synthesis. Ribavirin is phosphorylated intracellularly by adenosine kinase to ribavirin mono-, di-, and triphosphate metabolites. Ribavirin triphosphate (RTP) is the predominant metabolite which directly inhibits viral mRNA polymerase by binding to the nucleotide binding site of the enzyme. This prevents the binding of the correct nucleotides, leading to a reduction in viral replication or to the production of defective virions <sup class="cite-this-group">[<a class="cite-this-popover-link" data-content="Te HS, Randall G, Jensen DM: Mechanism of action of ribavirin in the treatment of chronic hepatitis C. Gastroenterol Hepatol (N Y). 2007 Mar;3(3):218-25. (PubMed ID 21960835)" href="#reference-A19645">7</a>]</sup>. RTP also demonstrates an inhibitory action on viral mRNA guanylyltransferase and mRNA 2′-O-methyltransferase of dengue virus. Inhibition of these enzymes disrupts the posttranslational capping of the 5′ end of viral mRNA through ribavirin being incorporated at the 5′ end in place of guanosine and preventing the cap methylation step. 	Genome polyprotein	Not Available
Emtricitabine	DB00879	https://www.drugbank.ca/structures/small_molecule_drugs/DB00879.sdf	143491-57-0	Emtricitabine works by inhibiting reverse transcriptase, the enzyme that copies HIV RNA into new viral DNA. Emtricitabine is a synthetic nucleoside analogue of cytidine. It is phosphorylated by cellular enzymes to form emtricitabine 5&#39;-triphosphate, which is responsible for the inhibition of HIV-1 reverse transcriptase. It competes with the natural substrate deoxycytidine 5&#39;-triphosphate and incorporates into nascent viral DNA, resulting in early chain termination. Therefore emtricitabine inhibits the activity of HIV-1 reverse transcriptase (RT) both by competing with the natural substrate deoxycytidine 5&#39;-triphosphate and by its incorporation into viral DNA. By inhibiting HIV-1 reverse transcriptase, emtricitabine can help to lower the amount of HIV, or &quot;viral load&quot;, in a patient&#39;s body and can indirectly increase the number of immune system cells (called T cells or CD4+ T-cells). Both of these changes are associated with healthier immune systems and decreased likelihood of serious illness.	Reverse transcriptase/RNaseH	inhibitor
Didanosine	DB00900	https://www.drugbank.ca/structures/small_molecule_drugs/DB00900.sdf	69655-05-6	Didanosine (ddI) is metabolized intracellularly by a series of cellular enzymes to its active moiety, dideoxyadenosine triphosphate (ddATP), which inhibits the HIV reverse transcriptase enzyme competitively by competing with natural dATP. It also acts as a chain terminator by its incorporation into viral DNA as the lack of a 3&#39;-OH group in the incorporated nucleoside analogue prevents the formation of the 5&#39; to 3&#39; phosphodiester linkage essential for DNA chain elongation, and therefore, the viral DNA growth is terminated.	Reverse transcriptase/RNaseH	inhibitor
Didanosine	DB00900	https://www.drugbank.ca/structures/small_molecule_drugs/DB00900.sdf	69655-05-6	Didanosine (ddI) is metabolized intracellularly by a series of cellular enzymes to its active moiety, dideoxyadenosine triphosphate (ddATP), which inhibits the HIV reverse transcriptase enzyme competitively by competing with natural dATP. It also acts as a chain terminator by its incorporation into viral DNA as the lack of a 3&#39;-OH group in the incorporated nucleoside analogue prevents the formation of the 5&#39; to 3&#39; phosphodiester linkage essential for DNA chain elongation, and therefore, the viral DNA growth is terminated.	Purine nucleoside phosphorylase	Not Available
Amantadine	DB00915	https://www.drugbank.ca/structures/small_molecule_drugs/DB00915.sdf	768-94-5	The mechanism of its antiparkinsonic effect is not fully understood, but it appears to be releasing dopamine from the nerve endings of the brain cells, together with stimulation of norepinephrine response. It also has NMDA receptor antagonistic effects. The antiviral mechanism seems to be unrelated. The drug interferes with a viral protein, M2 (an ion channel), which is needed for the viral particle to become &quot;uncoated&quot; once it is taken inside the cell by endocytosis.	Matrix protein 2	inhibitor
Amantadine	DB00915	https://www.drugbank.ca/structures/small_molecule_drugs/DB00915.sdf	768-94-5	The mechanism of its antiparkinsonic effect is not fully understood, but it appears to be releasing dopamine from the nerve endings of the brain cells, together with stimulation of norepinephrine response. It also has NMDA receptor antagonistic effects. The antiviral mechanism seems to be unrelated. The drug interferes with a viral protein, M2 (an ion channel), which is needed for the viral particle to become &quot;uncoated&quot; once it is taken inside the cell by endocytosis.	Glutamate receptor ionotropic, NMDA 3A	antagonist
Amantadine	DB00915	https://www.drugbank.ca/structures/small_molecule_drugs/DB00915.sdf	768-94-5	The mechanism of its antiparkinsonic effect is not fully understood, but it appears to be releasing dopamine from the nerve endings of the brain cells, together with stimulation of norepinephrine response. It also has NMDA receptor antagonistic effects. The antiviral mechanism seems to be unrelated. The drug interferes with a viral protein, M2 (an ion channel), which is needed for the viral particle to become &quot;uncoated&quot; once it is taken inside the cell by endocytosis.	D(2) dopamine receptor	agonist
Tipranavir	DB00932	https://www.drugbank.ca/structures/small_molecule_drugs/DB00932.sdf	174484-41-4	Tipranavir (TPV) is a non-peptidic HIV-1 protease inhibitor that inhibits the processing of the viral Gag and Gag-Pol polyproteins in HIV-1 infected cells, thus preventing formation of mature virions. Two mechanisms are suggested in regards to the potency of tipranavir: 1. Tipravanir may bind to the active site of the protease enzyme with fewer hydrogen bonds than peptidic protease inhibitors, which results in increased flexibility, allowing it to fit into the active site of the enzyme in viruses that have become resistance to other protease inhibitors. This also enables tipranavir to adjust to amino acid substitutions at the active site. 2. Tipranavir&#39;s strong hydrogen bonding interaction with the amide backbone of the protease active site Asp30 may lead to its activity against resistant viruses.	Human immunodeficiency virus type 1 protease	inhibitor
Zalcitabine	DB00943	https://www.drugbank.ca/structures/small_molecule_drugs/DB00943.sdf	7481-89-2	Zalcitabine is a nucleoside reverse transcriptase inhibitor (NRTI) with activity against Human Immunodeficiency Virus Type 1 (HIV-1). Within cells, zalcitabine is converted to its active metabolite, dideoxycytidine 5&#39;-triphosphate (ddCTP), by the sequential action of cellular enzymes. ddCTP interferes with viral RNA-directed DNA polymerase (reverse transcriptase) by competing for utilization of the natural substrate deoxycytidine 5&#39;-triphosphate (dCTP), as well as incorpating into viral DNA. Due to it&#39;s lack of a 3&#39;-OH group, the formation of a 5&#39; to 3&#39; phosphodiester linkage that is necessary for DNA chain elongation is inhibited, thus leading to the termination of viral DNA growth.	Reverse transcriptase/RNaseH	inhibitor
Ganciclovir	DB01004	https://www.drugbank.ca/structures/small_molecule_drugs/DB01004.sdf	82410-32-0	Ganciclovir&#39;s antiviral activity inhibits virus replication. This inhibitory action is highly selective as the drug must be converted to the active form by a virus-encoded cellular enzyme, thymidine kinase (TK). TK catalyzes phosphorylation of ganciclovir to the monophosphate, which is then subsequently converted into the diphosphate by cellular guanylate kinase and into the triphosphate by a number of cellular enzymes. <i>In vitro</i>, ganciclovir triphosphate stops replication of herpes viral DNA. When used as a substrate for viral DNA polymerase, ganciclovir triphosphate competitively inhibits dATP leading to the formation of &#39;faulty&#39; DNA. This is where ganciclovir triphosphate is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand. Ganciclovir inhibits viral DNA polymerases more effectively than it does cellular polymerase, and chain elongation resumes when ganciclovir is removed.	DNA polymerase catalytic subunit	inhibitor
Ganciclovir	DB01004	https://www.drugbank.ca/structures/small_molecule_drugs/DB01004.sdf	82410-32-0	Ganciclovir&#39;s antiviral activity inhibits virus replication. This inhibitory action is highly selective as the drug must be converted to the active form by a virus-encoded cellular enzyme, thymidine kinase (TK). TK catalyzes phosphorylation of ganciclovir to the monophosphate, which is then subsequently converted into the diphosphate by cellular guanylate kinase and into the triphosphate by a number of cellular enzymes. <i>In vitro</i>, ganciclovir triphosphate stops replication of herpes viral DNA. When used as a substrate for viral DNA polymerase, ganciclovir triphosphate competitively inhibits dATP leading to the formation of &#39;faulty&#39; DNA. This is where ganciclovir triphosphate is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand. Ganciclovir inhibits viral DNA polymerases more effectively than it does cellular polymerase, and chain elongation resumes when ganciclovir is removed.	DNA	incorporation into and destabilization
Ganciclovir	DB01004	https://www.drugbank.ca/structures/small_molecule_drugs/DB01004.sdf	82410-32-0	Ganciclovir&#39;s antiviral activity inhibits virus replication. This inhibitory action is highly selective as the drug must be converted to the active form by a virus-encoded cellular enzyme, thymidine kinase (TK). TK catalyzes phosphorylation of ganciclovir to the monophosphate, which is then subsequently converted into the diphosphate by cellular guanylate kinase and into the triphosphate by a number of cellular enzymes. <i>In vitro</i>, ganciclovir triphosphate stops replication of herpes viral DNA. When used as a substrate for viral DNA polymerase, ganciclovir triphosphate competitively inhibits dATP leading to the formation of &#39;faulty&#39; DNA. This is where ganciclovir triphosphate is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand. Ganciclovir inhibits viral DNA polymerases more effectively than it does cellular polymerase, and chain elongation resumes when ganciclovir is removed.	Thymidine kinase	inducer
Abacavir	DB01048	https://www.drugbank.ca/structures/small_molecule_drugs/DB01048.sdf	136470-78-5	Abacavir is a carbocyclic synthetic nucleoside analogue and an antiviral agent. Intracellularly, abacavir is converted by cellular enzymes to the active metabolite carbovir triphosphate, an analogue of deoxyguanosine-5&#39;-triphosphate (dGTP). Carbovir triphosphate inhibits the activity of HIV-1 reverse transcriptase (RT) both by competing with the natural substrate dGTP and by its incorporation into viral DNA. Viral DNA growth is terminated because the incorporated nucleotide lacks a 3&#39;-OH group, which is needed to form the 5′ to 3′ phosphodiester linkage essential for DNA chain elongation. 	Reverse transcriptase/RNaseH	inhibitor
Abacavir	DB01048	https://www.drugbank.ca/structures/small_molecule_drugs/DB01048.sdf	136470-78-5	Abacavir is a carbocyclic synthetic nucleoside analogue and an antiviral agent. Intracellularly, abacavir is converted by cellular enzymes to the active metabolite carbovir triphosphate, an analogue of deoxyguanosine-5&#39;-triphosphate (dGTP). Carbovir triphosphate inhibits the activity of HIV-1 reverse transcriptase (RT) both by competing with the natural substrate dGTP and by its incorporation into viral DNA. Viral DNA growth is terminated because the incorporated nucleotide lacks a 3&#39;-OH group, which is needed to form the 5′ to 3′ phosphodiester linkage essential for DNA chain elongation. 	HLA class I histocompatibility antigen, B-57 alpha chain	Not Available
Atazanavir	DB01072	https://www.drugbank.ca/structures/small_molecule_drugs/DB01072.sdf	198904-31-3	Atazanavir selectively inhibits the virus-specific processing of viral Gag and Gag-Pol polyproteins in HIV-1 infected cells by binding to the active site of HIV-1 protease, thus preventing the formation of mature virions. Atazanavir is not active against HIV-2.	Human immunodeficiency virus type 1 protease	inhibitor
Saquinavir	DB01232	https://www.drugbank.ca/structures/small_molecule_drugs/DB01232.sdf	127779-20-8	Saquinavir inhibits the HIV viral proteinase enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.	Human immunodeficiency virus type 1 protease	inhibitor
Darunavir	DB01264	https://www.drugbank.ca/structures/small_molecule_drugs/DB01264.sdf	206361-99-1	Darunavir is a HIV protease inhibitor which prevents HIV replication by binding to the enzyme&#39;s active site, thereby preventing the dimerization and the catalytic activity of the HIV-1 protease. Darunavir selectively inhibits the cleavage of HIV encoded Gag-Pol polyproteins in virus-infected cells, which prevents the formation of mature infectious virus particles. Structual analyses suggests that the close contact that darunavir has with the main chains of the protease active site amino acids (Asp-29 and Asp-30) is an important contributing factor to its potency and wide spectrum of activity against multi-protease inhibitor resistant HIV-1 variants. Darunavir can also adapt to the changing shape of a protease enzyme because of its molecular flexibility. Darunavir is known to bind to two distinct sites on the enzyme: the active site cavity and the surface of one of the flexible flaps in the protease dimer.	Human immunodeficiency virus type 1 protease	inhibitor
Telbivudine	DB01265	https://www.drugbank.ca/structures/small_molecule_drugs/DB01265.sdf	3424-98-4	Telbivudine 5&#39;–triphosphate inhibits HBV DNA polymerase (reverse transcriptase) by competing with the natural substrate, thymidine 5&#39;–triphosphate. This leads to the chain termination of DNA synthesis, thereby inhibiting viral replication. Incorporation of telbivudine 5&#39;–triphosphate into viral DNA also causes DNA chain termination, resulting in inhibition of HBV replication. Telbivudine inhibits anticompliment or second-strand DNA.	Protein P	Not Available
Telbivudine	DB01265	https://www.drugbank.ca/structures/small_molecule_drugs/DB01265.sdf	3424-98-4	Telbivudine 5&#39;–triphosphate inhibits HBV DNA polymerase (reverse transcriptase) by competing with the natural substrate, thymidine 5&#39;–triphosphate. This leads to the chain termination of DNA synthesis, thereby inhibiting viral replication. Incorporation of telbivudine 5&#39;–triphosphate into viral DNA also causes DNA chain termination, resulting in inhibition of HBV replication. Telbivudine inhibits anticompliment or second-strand DNA.	DNA	Not Available
Fosamprenavir	DB01319	https://www.drugbank.ca/structures/small_molecule_drugs/DB01319.sdf	226700-79-4	Fosamprenavir is a prodrug that is rapidly hydrolyzed to amprenavir by cellular phosphatases in the gut epithelium as it is absorbed. Amprenavir is an inhibitor of HIV-1 protease. During HIV replication, HIV protease cleaves viral polypeptide products of the Gag and Gag-Pol genes to form structural proteins of the virion core and essential viral enzymes. Amprenavir interferes with this process by binding to the active site of HIV-1 protease, thereby preventing the processing of viral Gag and Gag-Pol polyprotein precursors, resulting in the formation of immature non-infectious viral particles.	Human immunodeficiency virus type 1 protease	inhibitor
Lopinavir	DB01601	https://www.drugbank.ca/structures/small_molecule_drugs/DB01601.sdf	192725-17-0	Lopinavir inhibits the HIV viral protease enzyme. This prevents cleavage of the gag-pol polyprotein and, therefore, improper viral assembly results. This subsequently results in non-infectious, immature viral particles. 	Human immunodeficiency virus type 1 protease	inhibitor
Valganciclovir	DB01610	https://www.drugbank.ca/structures/small_molecule_drugs/DB01610.sdf	175865-60-8	Valganciclovir is a prodrug of ganciclovir that exists as a mixture of two diastereomers. After administration, these diastereomers are rapidly converted to ganciclovir by hepatic and intestinal esterases. In cytomegalovirus (CMV)-infected cells, ganciclovir is initially phosphorylated to the monophosphate form by viral protein kinase, then it is further phosphorylated via cellular kinases to produce the triphosphate form. This triphosphate form is slowly metabolized intracellularly. The phosphorylation is dependent upon the viral kinase and occurs preferentially in virus-infected cells. The virustatic activity of ganciclovir is due to the inhibition of viral DNA synthesis by ganciclovir triphosphate. Ganciclovir triphosphate is incorporated into the DNA strand replacing many of the adenosine bases. This results in the prevention of DNA synthesis, as phosphodiester bridges can longer to be built, destabilizing the strand. Ganciclovir inhibits viral DNA polymerases more effectively than it does cellular polymerase, and chain elongation resumes when ganciclovir is removed.	DNA	adduct
Phosphonoacetic Acid	DB02823	https://www.drugbank.ca/structures/small_molecule_drugs/DB02823.sdf	4408-78-0	Not Available	Alkaline phosphatase	Not Available
Brivudine	DB03312	https://www.drugbank.ca/structures/small_molecule_drugs/DB03312.sdf	69304-47-8	Not Available	Thymidine kinase	Not Available
Inosine	DB04335	https://www.drugbank.ca/structures/small_molecule_drugs/DB04335.sdf	58-63-9	Inosine has been found to have potent axon-promoting effects in vivo following unilateral transection of the corticospinal tract of rats. The mechanism of this action is unclear. Possibilities include serving as an agonist of a nerve growth factor-activated protein kinase (N-Kinase), conversion to cyclic nucleotides that enable advancing nerve endings to overcome the inhibitory effects of myelin, stimulation of differentiation in rat sympathetic neurons, augmentation of nerve growth factor-induced neuritogenesis and promotion of the survival of astrocytes, among others. The mechanism of inosine&#39;s possible cardioprotective effect is similarly unclear. Inosine has been reported to have a positive inotropic effect and also to have mild coronary vasodilation activity. Exogenous inosine may contribute to the high-energy phosphate pool of cardiac muscle cells and favorably affect bioenergetics generally. Inosine has also been reported to enhance the myocardial uptake of carbohydrates relative to free fatty acids as well as glycolysis. In cell culture studies, inosine has been found to inhibit the production, in immunostimulated macrophages and spleen cells, of the proinflammatory cytokines, tumor necrosis factor (TNF)-alpha, interleukin (IL)-1, interleukin (IL)-12, macrophage-inflammatory protein-1 alpha and interferon (IFN)-gamma. It also suppressed proinflammatory cytokine production and mortality in a mouse endotoxemic model. These actions might account for the possible immunomodulatory, anti-inflammatory and anti-ischemic actions of inosine.	Purine nucleoside phosphorylase	Not Available
Inosine	DB04335	https://www.drugbank.ca/structures/small_molecule_drugs/DB04335.sdf	58-63-9	Inosine has been found to have potent axon-promoting effects in vivo following unilateral transection of the corticospinal tract of rats. The mechanism of this action is unclear. Possibilities include serving as an agonist of a nerve growth factor-activated protein kinase (N-Kinase), conversion to cyclic nucleotides that enable advancing nerve endings to overcome the inhibitory effects of myelin, stimulation of differentiation in rat sympathetic neurons, augmentation of nerve growth factor-induced neuritogenesis and promotion of the survival of astrocytes, among others. The mechanism of inosine&#39;s possible cardioprotective effect is similarly unclear. Inosine has been reported to have a positive inotropic effect and also to have mild coronary vasodilation activity. Exogenous inosine may contribute to the high-energy phosphate pool of cardiac muscle cells and favorably affect bioenergetics generally. Inosine has also been reported to enhance the myocardial uptake of carbohydrates relative to free fatty acids as well as glycolysis. In cell culture studies, inosine has been found to inhibit the production, in immunostimulated macrophages and spleen cells, of the proinflammatory cytokines, tumor necrosis factor (TNF)-alpha, interleukin (IL)-1, interleukin (IL)-12, macrophage-inflammatory protein-1 alpha and interferon (IFN)-gamma. It also suppressed proinflammatory cytokine production and mortality in a mouse endotoxemic model. These actions might account for the possible immunomodulatory, anti-inflammatory and anti-ischemic actions of inosine.	IAG-nucleoside hydrolase	Not Available
Inosine	DB04335	https://www.drugbank.ca/structures/small_molecule_drugs/DB04335.sdf	58-63-9	Inosine has been found to have potent axon-promoting effects in vivo following unilateral transection of the corticospinal tract of rats. The mechanism of this action is unclear. Possibilities include serving as an agonist of a nerve growth factor-activated protein kinase (N-Kinase), conversion to cyclic nucleotides that enable advancing nerve endings to overcome the inhibitory effects of myelin, stimulation of differentiation in rat sympathetic neurons, augmentation of nerve growth factor-induced neuritogenesis and promotion of the survival of astrocytes, among others. The mechanism of inosine&#39;s possible cardioprotective effect is similarly unclear. Inosine has been reported to have a positive inotropic effect and also to have mild coronary vasodilation activity. Exogenous inosine may contribute to the high-energy phosphate pool of cardiac muscle cells and favorably affect bioenergetics generally. Inosine has also been reported to enhance the myocardial uptake of carbohydrates relative to free fatty acids as well as glycolysis. In cell culture studies, inosine has been found to inhibit the production, in immunostimulated macrophages and spleen cells, of the proinflammatory cytokines, tumor necrosis factor (TNF)-alpha, interleukin (IL)-1, interleukin (IL)-12, macrophage-inflammatory protein-1 alpha and interferon (IFN)-gamma. It also suppressed proinflammatory cytokine production and mortality in a mouse endotoxemic model. These actions might account for the possible immunomodulatory, anti-inflammatory and anti-ischemic actions of inosine.	Purine nucleoside phosphorylase DeoD-type	Not Available
Maraviroc	DB04835	https://www.drugbank.ca/structures/small_molecule_drugs/DB04835.sdf	376348-65-1	Maraviroc is an entry inhibitor and works by blocking HIV from entering human cells. Specifically maraviroc is a selective, slowly reversible, small molecule antagonist of the interaction between human CCR5 and HIV-1 gp120. Maraviroc selectively binds to the human chemokine receptor CCR5 present on the membrane of CD4 cells (T-cells), preventing the interaction of HIV-1 gp120 and CCR5 necessary for CCR5-tropic HIV-1 to enter cells.	C-C chemokine receptor type 5	antagonist
Pleconaril	DB05105	https://www.drugbank.ca/structures/small_molecule_drugs/DB05105.sdf	153168-05-9	Pleconaril binds to a hydrophobic pocket in viral protein 1, the major protein which comprises the capsid (the outer &quot;shell&quot;) of picornaviruses. In enteroviruses, this prevents the virus from exposing its RNA, and in rhinoviruses it also prevents the virus from attaching itself to the host cell.	Polyprotein	Not Available
